阿姨,ā yí,tante (soeur cadette de la mère); 个; ; Madame,3
啊,a,fin.; Ah ! ; (indique une exclamation),3
矮,ǎi,"de petite taille, bas",3
爱好,ài hào,"hobby, intérêt; 个; ; aimer",3
安静,ān jìng,"tranquille, calme, calmement",3
把,bǎ,"prép. / spéc.; (sert à faire passer l’objet direct; avant le verbe) ; (pour chaises,; couteaux, parapluies)",3
班,bān,classe (d’école); 个,3
搬,bān,"déplacer, déménager",3
办法,bàn fǎ,"moyen, solution; 个",3
办公室,bàn gōng shì,bureau; 个,3
半,bàn,"moitié, demi",3
帮忙,bāng máng,aider,3
包,bāo,emballer ; sac ; un sac de,3
饱,bǎo,rassasié,3
北方,běi fāng,"l.; (le/au) nord, Nord",3
被,bèi,prép.; (indique le passif ou introduit; l’agent),3
鼻子,bí zi,nez; 个,3
比较,bǐ jiào,comparer ; relativement,3
比赛,bǐ sài,"concourir, compétition; 个; ,; 次; ,; 场",3
笔记本,bǐ jì běn,"cahier de notes; 个; ,; 本",3
必须,bì xū,"nécessairement, absolument; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 20",3
变化,biàn huà,changement; 个,3
别人,bié rén,"autrui, d’autres (personnes)",3
冰箱,bīng xiāng,réfrigérateur; 个,3
不但,bù dàn,"et, de plus, en outre",3
菜单,cài dān,"menu; 个; ,; 本",3
参加,cān jiā,participer à,3
草,cǎo,herbe; 根,3
层,céng,étage ; une couche de,3
差,chà,"inférieur, imparfait ; différer,; s’écarter",3
尝,cháng,goûter,3
超市,chāo shì,"supermarché; 个; ,; 家",3
衬衫,chèn shān,chemise; 件,3
成绩,chéng jì,"succès, résultat, note (scolaire); 个",3
城市,chéng shì,ville; 个,3
迟到,chí dào,être en retard,3
除了,chú le,"prép.; excepté, à part, sauf",3
船,chuán,bateau,3
春,chūn,printemps,3
词典,cí diǎn,dictionnaire (des mots); 本,3
聪明,cōng míng,intelligent,3
打扫,dǎ sǎo,"balayer, nettoyer",3
打算,dǎ suàn,"avoir l’intention de, projeter,; projet; 个",3
带,dài,emmener ; guider ; s’occuper de,3
担心,dān xīn,"s’inquiéter, se faire du souci",3
蛋糕,dàn gāo,"gâteau; 个; ,; 块",3
当然,dāng rán,"bien sûr, évidemment",3
地,dì,(entre un adjectif exerçant une; fonction adverbiale et le verbe); Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 21,3
灯,dēng,"lampe, lumière; 盏",3
地方,dì fāng,"endroit, lieu; 个",3
地铁,dì tiě,métro,3
地图,dì tú,carte (géographique); 张,3
电梯,diàn tī,ascenseur; 个,3
电子邮件,diàn zi yóu jiàn,courrier électronique; 个,3
东,dōng,loc.; est (direction),3
冬,dōng,hiver,3
动物,dòng wù,animal; 个,3
短,duǎn,court,3
段,duàn,"section, paragraphe ; un; paragraphe de, une certaine; période de (temps)",3
锻炼,duàn liàn,"s’entraîner, s’exercer (pour être en; bonne santé)",3
多么,duō me,combien… ! comme… !,3
饿,è,avoir faim,3
耳朵,ěr duǒ,oreille; 只,3
发,fā,"envoyer (courrier électronique,; SMS, texto), émettre",3
发烧,fā shāo,avoir de la fièvre,3
发现,fā xiàn,"découvrir, remarquer, découverte; 个",3
方便,fāng biàn,"commode, pratique",3
放,fàng,"mettre, placer",3
放心,fàng xīn,"se tranquilliser, se rassurer",3
分,fēn,centime ; minute ; diviser,3
附近,fù jìn,"l.; environs, alentours",3
复习,fù xí,"réviser, répéter",3
干净,gān jìng,propre,3
感冒,gǎn mào,"prendre froid, être enrhumé",3
感兴趣,gǎn xìng qù,s'intéresser à; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 22,3
刚才,gāng cái,"à l’instant, il y a peu de temps",3
个子,gè zi,taille (d’une personne),3
根据,gēn jù,prép. / n.; selon ; fondement,3
跟,gēn,prép. / v.; avec ; suivre,3
更,gèng,plus,3
公斤,gōng jīn,kilogramme,3
公园,gōng yuán,"parc, jardin public; 个",3
故事,gù shì,"histoire, conte; 个",3
刮风,guā fēng,"y avoir du vent, venter",3
关,guān,"fermer, éteindre",3
关系,guān xì,"rapport, relation ; relations; sociales; 个",3
关心,guān xīn,"s’intéresser à, se soucier de",3
关于,guān yú,"prép.; concernant, au sujet de",3
国家,guó jiā,"pays, État, nation; 个",3
过去,guò qù,"passé, autrefois",3
还是,hái shì,"ou (dans une phrase; interrogative) ; encore, toujours",3
害怕,hài pà,"avoir peur de; 河; 河; hé; n.; rivière, fleuve; 条",3
黑板,hēi bǎn,tableau noir; 个,3
后来,hòu lái,par la suite,3
护照,hù zhào,passeport; 个,3
花,huā,"dépenser (l’argent, l’énergie, le; temps, etc.)",3
画,huà,"dessiner, peindre, dessin, peinture",3
坏,huài,"mauvais ; s’abîmer, être en panne",3
欢迎,huān yíng,souhaiter la bienvenue,3
环境,huán jìng,environnement; 个,3
换,huàn,"changer, échanger",3
黄河,huáng hé,Fleuve Jaune; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 23,3
回答,huí dá,"répondre, réponse; 个",3
会议,huì yì,"réunion; 个; ,; 次",3
或者,huò zhě,ou bien (dans une phrase; affirmative),3
几乎,jī hū,presque,3
机会,jī huì,"occasion, chance, opportunité; 个",3
极,jí,extrêmement,3
记得,jì de,"se souvenir de, se rappeler",3
季节,jì jié,saison; 个,3
检查,jiǎn chá,"examiner, vérifier, vérification; 个; ,; 次",3
简单,jiǎn dān,"simple, peu compliqué,; simplement",3
见面,jiàn miàn,"se rencontrer, se voir",3
健康,jiàn kāng,"bien portant, sain",3
讲,jiǎng,"raconter, parler, expliquer",3
教,jiào,enseigner,3
角,jiǎo,jiao (1/10 de yuan = 10 centimes) ;; coin ; corne,3
脚,jiǎo,pied; 只,3
接,jiē,chercher (qqn) ; répondre (au; téléphone),3
街道,jiē dào,rue; 条,3
节目,jié mù,"programme (de spectacle),; émission; 个",3
节日,jié rì,"fête, jour de fête",3
结婚,jié hūn,se marier,3
结束,jié shù,"finir, terminer",3
解决,jiě jué,résoudre (un problème),3
借,jiè,"prêter, emprunter",3
经常,jīng cháng,"/ adv.; fréquent, souvent; Vocabulaire HSK; HSK 3; http://www.unige.ch/ic/hsk/; 24",3
经过,jīng guò,"passer par, traverser ; après avoir; (fait)",3
经理,jīng lǐ,directeur (d'une entreprise); 个,3
久,jiǔ,longtemps,3
旧,jiù,"vieux, usé",3
句子,jù zi,phrase; 个,3
决定,jué dìng,"décider, décision; 个",3
可爱,kě ài,kě’ài,3
渴,kě,avoir soif,3
刻,kè,quart d’heure,3
